id,title,price,address,url,property_type,modifiedAt,active,lat,lng
23,Kitnet Individual para Estudante UFPE,R$ 750,"Rua Governador Lopo Garro, Cidade Universitária, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-individual-para-estudante-ufpe-1353676606,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0532678,-34.9431024
24,Casa na Várzea ,R$ 800,"Avenida Afonso Olindense, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-na-varzea-1353526853,Casas,19/11/2024 22:03:03,True,-8.0332776,-34.9552448
25,Vendo ou alugo,R$ 380,"Rua Vale do Piauí, Passarinho, Recife",https://pe.olx.com.br/grande-recife/imoveis/vendo-ou-alugo-1353487635,Casas,19/11/2024 22:03:03,True,-11.009881,-41.892123
26,Casa com Sala Ampla,R$ 800,"Rua José de Holanda, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-com-sala-ampla-1344808939,Casas,19/11/2024 22:03:03,True,-22.478753,-44.45934
27,KITINETE * EM FRENTE  ao CFCH * UFPE  **** APT com 2 quartos próximo do HC UFPE,R$ 850,"Avenida Professor Artur de Sá, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitinete-em-frente-ao-cfch-ufpe--apt-com-2-quartos-proximo-do-hc-ufpe-1150440635,Aluguel de quartos,19/11/2024 22:03:03,True,-8.0463426,-34.9559658
28,Apartamento compartilhado. ,R$ 700,"Rua Engenheiro Leonardo Arcoverde, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-compartilhado-1355442139,Apartamentos,19/11/2024 22:03:03,True,-8.0543104,-34.912018
29,Alugo Kitnet e outros imóveis próximos da UFPE,R$ 800,"Avenida Professor Artur de Sá, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-kitnet-e-outros-imoveis-proximos-da-ufpe-1353319772,Casas,19/11/2024 22:03:03,True,-8.0463426,-34.9559658
30,Apartamento para Alugar,R$ 1.000,"Avenida Professor Estevão Francisco da Costa, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-alugar-1347288035,Casas,19/11/2024 22:03:03,True,-8.0494684,-34.9197342
31,"Aluga-se casa com dois quartos, banheiro, cozinha americana.",R$ 450,"Rua Luiz da Câmara Cascudo, Torrões, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-casa-com-dois-quartos-banheiro-cozinha-americana-1355289471,Casas,19/11/2024 22:03:03,True,-8.056377,-34.939751
32,Alugo casa na Iputinga poucos metros da av. Caxangá ,R$ 1.000,"Rua David Nasser, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-na-iputinga-poucos-metros-da-av-caxanga-1353033132,Casas,19/11/2024 22:03:04,True,-8.0398298,-34.9380784
33,Kitnet para Alugar no Engenho do Meio,R$ 650,"Rua Francisco Bezerra Monteiro, Engenho do Meio, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-para-alugar-no-engenho-do-meio-1352787073,Apartamentos,19/11/2024 22:03:04,True,-8.0546028,-34.9427898
34,Alugam-se kit nets em Recife,R$ 350,"Rua Quatro de Outubro, Prado, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugam-se-kit-nets-em-recife-1352784264,Apartamentos,19/11/2024 22:03:04,True,-8.0558157,-34.9145736
35,aluga apartamento ,R$ 900,"Rua Doutor Correia da Silva, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-apartamento-1355042983,Apartamentos,19/11/2024 22:03:04,True,-8.0480502,-34.9582279
36,Casa no cordeiro,R$ 600,"Rua Vila do Forte, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-no-cordeiro-1352610798,Casas,19/11/2024 22:03:04,True,-8.053444,-34.92977
37,Casa para alugar ,R$ 650,"Rua Guiné, Torrões, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-1352372827,Casas,19/11/2024 22:03:04,True,-8.0550883,-34.9367558
38,Kitnet na Várzea,R$ 600,"Avenida Afonso Olindense, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-na-varzea-1352305544,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0332776,-34.9552448
39,"Alugo loft , apartamento, casa",R$ 850,"Rua Xavier Sobrinho, Prado, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-loft-apartamento-casa-1321254473,Apartamentos,19/11/2024 22:03:04,True,-8.0589575,-34.9208872
40,Apartamento 01 quarto no Cordeiro/Iputinga/Caxangá,R$ 900,"Rua Cordislândia, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-01-quarto-no-cordeiro-iputinga-caxanga-1326792696,Apartamentos,19/11/2024 22:03:04,True,-8.0427673,-34.9304204
41,Alugo Ap. 1 quarto no Cordeiro/Caxangá/Iputinga,R$ 900,"Rua Cordislândia, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-ap-1-quarto-no-cordeiro-caxanga-iputinga-1352234686,Apartamentos,19/11/2024 22:03:04,True,-8.0427673,-34.9304204
42,Casa no Cordeiro ,R$ 500,"Rua Antônio Machado, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-no-cordeiro-1352223547,Casas,19/11/2024 22:03:04,True,-8.0552739,-34.9226611
43,Casa na torre/ vila Santa luzia ,R$ 700,"Rua Tapaua, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-na-torre-vila-santa-luzia-1352102357,Casas,19/11/2024 22:03:04,True,-23.4575288,-46.5033936
44,Loft 2 aluguel por diária no Derby.,R$ 150,"Rua Arlindo Gouveia, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/loft-2-aluguel-por-diaria-no-derby-1352036931,Apartamentos,19/11/2024 22:03:04,True,-8.0570025,-34.904007
45,Casa aconchegante com 2 quartos ,R$ 800,"Rua Professora Laura Ferreira da Costa, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-aconchegante-com-2-quartos-1351918067,Casas,19/11/2024 22:03:04,True,-8.0551346,-34.9313925
46,Aluguel de quarto na Torre- Recife (somente para meninas),R$ 666,"Rua Visconde de Itaparica, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-de-quarto-na-torre-recife-somente-para-meninas-1351699611,Aluguel de quartos,19/11/2024 22:03:04,True,-22.8703133,-43.4066793
47,Aluguel kinet na várzea ,R$ 470,"Rua Emiliano Braga, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-kinet-na-varzea-1351675886,Apartamentos,19/11/2024 22:03:04,True,-8.0384222,-34.945364
48,Quarto com banheiro para meninas,R$ 502,"Rua Ricardo Salazar, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-com-banheiro-para-meninas-1351373051,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0578688,-34.9108693
49,Aluga-se um Kitnet próx a UFPE,R$ 780,"Rua das Palmeiras, Cidade Universitária, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-um-kitnet-prox-a-ufpe-1350624460,Casas,19/11/2024 22:03:04,True,-8.0059656,-34.9312478
50,Republica para estudantes próximo a UFPE,R$ 500,"Rua Pantaleão Cirne, Engenho do Meio, Recife",https://pe.olx.com.br/grande-recife/imoveis/republica-para-estudantes-proximo-a-ufpe-1350429778,Aluguel de quartos,19/11/2024 22:03:04,True,-8.054157,-34.9455465
51,Quarto privativo em casa compartilhada. Perto da FASUP,R$ 600,"Recife, Engenho do Meio",https://pe.olx.com.br/grande-recife/imoveis/quarto-privativo-em-casa-compartilhada-perto-da-fasup-1349965285,Casas,19/11/2024 22:03:04,True,-8.0587836,-34.9458963
52,Aluguel quarto na várzea ,R$ 400,"Rua Padre Champagnat, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-quarto-na-varzea-1349918930,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0423004,-34.9477807
53,ALUGO QUARTO EM AP MOBILIADO,R$ 900,"Rua Cardeal Dom Augusto, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-quarto-em-ap-mobiliado-1349867065,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0546303,-34.928864
54,Alugo casa na Iputiga,R$ 700,"Rua Capitão Aurélio de Araújo, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-casa-na-iputiga-1349805656,Casas,19/11/2024 22:03:04,True,-8.0401903,-34.9324199
55,Pensionato estudantil UFPE,R$ 600,"Rua Deputado Cunha Rabelo, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/pensionato-estudantil-ufpe-1349788965,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0455847,-34.9478451
56,Kitnet Para Alugar,R$ 850,"Rua Souza Bandeira, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-para-alugar-1349724790,Apartamentos,19/11/2024 22:03:04,True,-22.8971933,-43.1919463
57,CASA PRA ALUGAR NA VÁRZEA/CDU,R$ 700,"Rua Mário Campelo, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-pra-alugar-na-varzea-cdu-1349721740,Casas,19/11/2024 22:03:04,True,-8.0562238,-34.9589319
58,"1 quarto em prédio novinho, próximo ao Jockey!",R$ 850,"Rua Félix Cavalcante Albuquerque, Prado, Recife",https://pe.olx.com.br/grande-recife/imoveis/1-quarto-em-predio-novinho-proximo-ao-jockey-1349668444,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0573814,-34.9132019
59,Quarto mobiliado ,R$ 550,"Rua Gastão Vidigal, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-mobiliado-1349391953,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0321643,-34.9592364
60,"Loft Derby, diaria",R$ 150,"Rua Arlindo Gouveia, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/loft-derby-diaria-1349366539,Apartamentos,19/11/2024 22:03:04,True,-8.0570025,-34.904007
61,Aluga se casa parte de cima na caxangar nova morada,R$ 700,"Rua Governador Moura Cavalcanti, Caxangá, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-casa-parte-de-cima-na-caxangar-nova-morada-1336813862,Casas,19/11/2024 22:03:04,True,-8.0215114,-34.9517423
62,"Casa para alugar, recém reformada",R$ 600,"Rua Engenheiro Florisval Silvestre Neto, Caxangá, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-recem-reformada-1350713749,Casas,19/11/2024 22:03:04,True,-8.0232572,-34.9506925
63,Alugo Kitnet  próx. A Reitoria da UFPE(ENGENHO DO MEIO).,R$ 700,"Rua Jacaraú, Engenho do Meio, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-kitnet-prox-a-reitoria-da-ufpe-engenho-do-meio-1339752285,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0563566,-34.9459553
